"0","Country","Country_code","Series","Series_code","Year","Number"
"4195","Afghanistan","AFG","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1990","0"
"4215","Bangladesh","BGD","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1990","5.90831648660892"
"4235","Bhutan","BTN","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1990","26.8303707909999"
"4255","Cambodia","KHM","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1990","0"
"4275","Hong Kong SAR, China","HKG","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1990","130.656680951046"
"4295","Korea, Dem. People’s Rep.","PRK","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1990","0"
"4315","Lao PDR","LAO","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1990","11.3287632936327"
"4335","Myanmar","MMR","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1990","0"
"4355","Philippines","PHL","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1990","27.5162290192409"
"4375","Pakistan","PAK","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1990","15.5383068866323"
"4395","Singapore","SGP","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1990","177.154847795902"
"4415","Sri Lanka","LKA","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1990","30.1808045148298"
"4435","Thailand","THA","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1990","34.1319282448808"
"4455","Timor-Leste","TMP","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1990","0"
"4475","Vietnam","VNM","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1990","36.0386153908604"
"4495","China","CHN","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1995","18.4359465464388"
"4515","India","IND","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1995","10.6570756078006"
"4535","Indonesia","IDN","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1995","26.3121645768358"
"4555","Japan","JPN","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1995","9.05257631497594"
"4575","Korea, Rep.","KOR","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1995","26.6526825471188"
"4595","South Asia","SAS","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1995","12.0937046839994"
"4615","North America","NAC","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1995","12.9196872432818"
"4635","World","WLD","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1995","22.0961158965236"
"4655","Middle East & North Africa","MEA","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1995","30.0744426806411"
"4675","Sub-Saharan Africa","SSF","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1995","27.8699764605078"
"4695","Low income","LIC","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1995","21.8929444484691"
"4715","Europe & Central Asia","ECS","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1995","29.1250600547341"
